Term Amount,Peak Memory (b)
4710,6805160
4720,6806536
4730,6824208
4740,6814784
4750,6948904
4760,6917256
4770,6947840
4780,6950752
4790,6962232
4800,6972056
4810,6957736
4820,6960336
4830,6961688
4840,6992920
4850,6990048
4860,6998408
4870,7017904
4880,7021368
4890,7007528
4900,7008496
4910,7026936
4920,7025096
4930,7042456
4940,7037112
4950,7050560
4960,7058536
4970,7063296
4980,7071152
4990,7050880
