Term Amount,Peak Memory (b)
4710,8546536
4720,8537800
4730,8567088
4740,8533152
4750,8694824
4760,8609032
4770,8668448
4780,8663296
4790,8678136
4800,8689112
4810,8643752
4820,8637872
4830,8629080
4840,8690008
4850,8671360
4860,8678920
4870,8712464
4880,8708600
4890,8664360
4900,8654672
4910,8685752
4920,8669512
4930,8698072
4940,8673656
4950,8693088
4960,8699752
4970,8698912
4980,8705296
4990,8646048
