Term Amount,Add Array Memory,Add Array Time,Add List Memory,Add List Time,Generate Array Memory,Generate Array Time,Generate List Memory,Generate List Time,Multiply Array Memory,Multiply Array Time,Multiply List Memory,Multiply List Time,Process Array Memory,Process Array Time,Process List Memory,Process List Time
Term Amount,Array,Array,List,List,Array,Array,List,List,Array,Array,List,List,Array,Array,List,List
110,10592,0.027,14080,0.036,1760,0.005,3520,0.014,648352,1.994,758160,2.854,0,0.006,0,0.006
110,10592,0.026,14080,0.036,1760,0.005,3520,0.014,648352,2.042,758160,2.761,0,0.006,0,0.006
110,10592,0.031,14080,0.037,1760,0.006,3520,0.014,648352,2.211,758160,2.218,0,0.007,0,0.006
110,10592,0.029,14080,0.045,1760,0.004,3520,0.017,648352,1.71,758160,2.195,0,0.007,0,0.007
120,11584,0.032,15328,0.046,1920,0.004,3840,0.016,707792,1.908,873456,2.649,0,0.007,0,0.01
120,11584,0.06,15328,0.044,1920,0.005,3840,0.015,707792,1.892,873456,2.781,0,0.007,0,0.007
120,11584,0.037,15328,0.044,1920,0.004,3840,0.015,707792,1.965,873456,2.803,0,0.008,0,0.007
120,11584,0.029,15328,0.044,1920,0.005,3840,0.015,707792,1.899,873456,2.66,0,0.017,0,0.007
120,11584,0.029,15328,0.043,1920,0.004,3840,0.015,707792,1.866,873456,2.558,0,0.007,0,0.007
130,12616,0.032,16776,0.052,2080,0.005,4160,0.016,804496,2.374,1016496,3.043,0,0.008,0,0.009
130,12616,0.03,16776,0.055,2080,0.004,4160,0.016,804496,2.347,1016496,3.097,0,0.008,0,0.008
130,12616,0.03,16776,0.047,2080,0.005,4160,0.017,804496,2.752,1016496,3.019,0,0.008,0,0.008
130,12616,0.03,16776,0.046,2080,0.005,4160,0.016,804496,2.25,1016496,3.081,0,0.008,0,0.007
130,12616,0.03,16776,0.046,2080,0.005,4160,0.016,804496,2.249,1016496,3.026,0,0.008,0,0.008
140,13656,0.033,18072,0.055,2240,0.005,4480,0.018,890936,2.77,1150840,3.459,0,0.008,0,0.019
140,13656,0.032,18072,0.047,2240,0.005,4480,0.017,890936,2.602,1150840,4.082,0,0.008,0,0.009
140,13656,0.039,18072,0.046,2240,0.005,4480,0.026,890936,2.592,1150840,3.573,0,0.009,0,0.008
140,13656,0.032,18072,0.059,2240,0.005,4480,0.025,890936,3.651,1150840,3.617,0,0.009,0,0.008
140,13656,0.033,18072,0.045,2240,0.005,4480,0.018,890936,4.04,1150840,3.595,0,0.009,0,0.009
150,14672,0.046,19440,0.053,2400,0.006,4800,0.019,955984,4.64,1254832,4.007,0,0.009,0,0.014
150,14672,0.036,19440,0.049,2400,0.005,4800,0.019,955984,3.924,1254832,4.248,0,0.009,0,0.009
150,14672,0.036,19440,0.048,2400,0.006,4800,0.019,955984,3.369,1254832,3.981,0,0.009,0,0.008
150,14672,0.035,19440,0.049,2400,0.005,4800,0.019,955984,2.912,1254832,4.373,0,0.009,0,0.009
150,14672,0.036,19440,0.055,2400,0.006,4800,0.019,955984,2.904,1254832,3.995,0,0.009,0,0.009
160,15496,0.038,20616,0.056,2560,0.006,5120,0.02,1684696,3.752,1413184,4.835,0,0.01,0,0.012
160,15496,0.038,20616,0.051,2560,0.006,5120,0.021,1684696,3.353,1413184,4.948,0,0.009,0,0.01
160,15496,0.044,20616,0.051,2560,0.005,5120,0.02,1684696,4.002,1413184,4.649,0,0.01,0,0.009
160,15496,0.038,20616,0.051,2560,0.006,5120,0.02,1684696,3.406,1413184,6.755,0,0.01,0,0.01
160,15496,0.037,20616,0.051,2560,0.006,5120,0.02,1684696,3.416,1413184,6.761,0,0.01,0,0.009
170,16448,0.041,21856,0.065,2720,0.006,5440,0.021,1794008,3.936,1541776,5.308,0,0.01,0,0.012
170,16448,0.048,21856,0.056,2720,0.006,5440,0.021,1794008,5.499,1541776,5.427,0,0.01,0,0.01
170,16448,0.041,21856,0.056,2720,0.007,5440,0.029,1794008,5.159,1541776,5.171,0,0.02,0,0.01
170,16448,0.04,21856,0.056,2720,0.006,5440,0.021,1794008,4.504,1541776,5.247,0,0.011,0,0.016
170,16448,0.04,21856,0.056,2720,0.006,5440,0.021,1794008,3.765,1541776,5.14,0,0.01,0,0.01
180,17600,0.043,23264,0.071,2880,0.006,5760,0.022,1904696,6.244,1685072,6.099,0,0.011,0,0.013
180,17600,0.049,23264,0.059,2880,0.007,5760,0.022,1904696,5.434,1685072,5.855,0,0.011,0,0.01
180,17600,0.042,23264,0.059,2880,0.006,5760,0.021,1904696,4.26,1685072,5.778,0,0.011,0,0.011
180,17600,0.041,23264,0.058,2880,0.007,5760,0.022,1904696,4.391,1685072,5.615,0,0.01,0,0.01
180,17600,0.042,23264,0.058,2880,0.006,5760,0.022,1904696,4.26,1685072,7.378,0,0.011,0,0.011
190,18448,0.045,24496,0.071,3040,0.007,6080,0.024,1996856,5.012,1828264,6.746,0,0.012,0,0.014
190,18448,0.045,24496,0.062,3040,0.007,6080,0.024,1996856,4.874,1828264,6.668,0,0.011,0,0.011
190,18448,0.057,24496,0.062,3040,0.007,6080,0.024,1996856,4.687,1828264,7.363,0,0.011,0,0.011
190,18448,0.051,24496,0.061,3040,0.007,6080,0.024,1996856,4.739,1828264,6.694,0,0.012,0,0.011
190,18448,0.045,24496,0.063,3040,0.006,6080,0.024,1996856,4.853,1828264,10.864,0,0.011,0,0.011
200,19464,0.052,25800,0.077,3200,0.008,6400,0.031,2089016,7.916,1947768,8.843,0,0.012,0,0.015
200,19464,0.048,25800,0.066,3200,0.007,6400,0.024,2089016,5.873,1947768,7.088,0,0.012,0,0.011
200,19464,0.048,25800,0.066,3200,0.007,6400,0.025,2089016,6.678,1947768,6.972,0,0.017,0,0.012
200,19464,0.048,25800,0.066,3200,0.012,6400,0.025,2089016,5.537,1947768,7.001,0,0.012,0,0.017
200,19464,0.048,25800,0.074,3200,0.007,6400,0.025,2089016,6.013,1947768,6.985,0,0.012,0,0.012
210,20240,0.056,26864,0.089,3360,0.008,6720,0.031,2201144,9.843,2099392,7.725,0,0.013,0,0.015
210,20240,0.058,26864,0.068,3360,0.007,6720,0.03,2201144,9.454,2099392,7.516,0,0.019,0,0.013
210,20240,0.05,26864,0.068,3360,0.008,6720,0.025,2201144,8.924,2099392,7.468,0,0.012,0,0.012
210,20240,0.049,26864,0.074,3360,0.007,6720,0.025,2201144,5.689,2099392,8.581,0,0.013,0,0.013
210,20240,0.049,26864,0.069,3360,0.008,6720,0.025,2201144,5.689,2099392,13.383,0,0.012,0,0.013
220,21192,0.061,28040,0.076,3520,0.008,7040,0.033,2314984,6.459,2226856,8.403,0,0.014,0,0.016
220,21192,0.062,28040,0.071,3520,0.007,7040,0.026,2314984,6.14,2226856,12.235,0,0.013,0,0.013
220,21192,0.051,28040,0.076,3520,0.008,7040,0.032,2314984,6.237,2226856,8.725,0,0.013,0,0.013
220,21192,0.051,28040,0.071,3520,0.008,7040,0.027,2314984,6.523,2226856,8.849,0,0.013,0,0.013
220,21192,0.05,28040,0.071,3520,0.008,7040,0.027,2314984,6.338,2226856,8.35,0,0.013,0,0.013
230,22352,0.071,29616,0.081,3680,0.008,7360,0.03,2674496,8.414,2882304,9.935,0,0.014,0,0.022
230,22352,0.062,29616,0.081,3680,0.008,7360,0.029,2674496,8.834,2882304,9.861,0,0.014,0,0.014
230,22352,0.055,29616,0.082,3680,0.009,7360,0.028,2674496,8.812,2882304,9.584,0,0.013,0,0.013
230,22352,0.054,29616,0.077,3680,0.009,7360,0.029,2674496,11.468,2882304,9.74,0,0.014,0,0.014
230,22352,0.054,29616,0.075,3680,0.008,7360,0.028,2674496,10.068,2882304,9.457,0,0.014,0,0.014
240,23128,0.058,30680,0.09,3840,0.008,7680,0.029,2522824,11.969,2477848,9.579,0,0.014,0,0.017
240,23128,0.058,30680,0.079,3840,0.009,7680,0.03,2522824,12.322,2477848,12.514,0,0.015,0,0.015
240,23128,0.062,30680,0.079,3840,0.009,7680,0.035,2522824,10.941,2477848,14.093,0,0.02,0,0.014
240,23128,0.066,30680,0.085,3840,0.009,7680,0.03,2522824,18.055,2477848,9.573,0,0.015,0,0.014
240,23128,0.057,30680,0.079,3840,0.009,7680,0.03,2522824,13.992,2477848,15.138,0,0.014,0,0.014
