Term Amount,Add Array Memory,Add Array Time,Add List Memory,Add List Time,Generate Array Memory,Generate Array Time,Generate List Memory,Generate List Time,Multiply Array Memory,Multiply Array Time,Multiply List Memory,Multiply List Time,Process Array Memory,Process Array Time,Process List Memory,Process List Time
Term Amount,Array,Array,List,List,Array,Array,List,List,Array,Array,List,List,Array,Array,List,List
1160,111128,0.344,145496,0.374,18560,0.061,37120,0.128,6486496,149.174,7436280,201.361,0,0.068,0,0.069
1160,111128,0.31,145496,0.373,18560,0.08,37120,0.128,6486496,120.359,7436280,147.96,0,0.072,0,0.074
1170,112408,0.266,147736,0.407,18720,0.065,37440,0.129,6506976,133.069,7487856,162.063,0,0.076,0,0.082
1170,112408,0.262,147736,0.389,18720,0.062,37440,0.139,6506976,127.602,7487856,157.815,0,0.073,0,0.074
1170,112408,0.267,147736,0.38,18720,0.061,37440,0.129,6506976,131.191,7487856,155.431,0,0.069,0,0.069
1170,112408,0.265,147736,0.381,18720,0.086,37440,0.129,6506976,138.531,7487856,152.335,0,0.079,0,0.074
1170,112408,0.248,147736,0.379,18720,0.062,37440,0.13,6506976,127.063,7487856,173.605,0,0.07,0,0.075
1180,112800,0.257,147904,0.41,18880,0.061,37760,0.132,6863888,168.557,7527368,175.021,0,0.071,0,0.083
1180,112800,0.262,147904,0.382,18880,0.086,37760,0.139,6863888,148.742,7527368,155.37,0,0.079,0,0.075
1180,112800,0.248,147904,0.383,18880,0.062,37760,0.132,6863888,128.68,7527368,156.066,0,0.069,0,0.069
1180,112800,0.263,147904,0.381,18880,0.062,37760,0.139,6863888,130.102,7527368,157.819,0,0.076,0,0.075
1180,112800,0.256,147904,0.377,18880,0.07,37760,0.131,6863888,124.662,7527368,153.949,0,0.069,0,0.07
1190,113624,0.263,149080,0.422,19040,0.043,38080,0.139,6884368,132.309,7507712,156.831,0,0.073,0,0.09
1190,113624,0.26,149080,0.389,19040,0.041,38080,0.132,6884368,127.892,7507712,199.514,0,0.078,0,0.07
1190,113624,0.262,149080,0.386,19040,0.041,38080,0.132,6884368,133.405,7507712,173.911,0,0.071,0,0.07
1190,113624,0.262,149080,0.389,19040,0.04,38080,0.132,6884368,147.952,7507712,162.637,0,0.071,0,0.076
1190,113624,0.26,149080,0.385,19040,0.041,38080,0.132,6884368,147.545,7507712,163.748,0,0.084,0,0.07
1200,115960,0.269,151608,0.43,19200,0.041,38400,0.14,6904848,133.511,7486656,158.187,0,0.071,0,0.091
1200,115960,0.255,151608,0.389,19200,0.055,38400,0.135,6904848,133.103,7486656,159.838,0,0.078,0,0.071
1200,115960,0.267,151608,0.389,19200,0.077,38400,0.133,6904848,133.52,7486656,175.371,0,0.071,0,0.076
1200,115960,0.259,151608,0.387,19200,0.106,38400,0.134,6904848,130.744,7486656,270.466,0,0.076,0,0.071
1200,115960,0.26,151608,0.389,19200,0.079,38400,0.133,6904848,149.752,7486656,198.295,0,0.078,0,0.07
1210,116616,0.26,152392,0.41,19360,0.042,38720,0.143,6925328,136.295,7577264,308.202,0,0.072,0,0.09
1210,116616,0.266,152392,0.404,19360,0.041,38720,0.152,6925328,171.986,7577264,279.691,0,0.077,0,0.072
1210,116616,0.252,152392,0.386,19360,0.041,38720,0.196,6925328,152.68,7577264,326.831,0,0.077,0,0.077
1210,116616,0.264,152392,0.387,19360,0.048,38720,0.199,6925328,131.693,7577264,249.83,0,0.072,0,0.072
1210,116616,0.26,152392,0.381,19360,0.042,38720,0.203,6925328,130.815,7577264,175.625,0,0.078,0,0.081
1220,117560,0.274,153848,0.412,19520,0.042,39040,0.196,6945808,138.549,7510624,162.575,0,0.072,0,0.095
1220,117560,0.267,153848,0.391,19520,0.042,39040,0.206,6945808,141.633,7510624,359.048,0,0.088,0,0.08
1220,117560,0.261,153848,0.389,19520,0.041,39040,0.318,6945808,136.69,7510624,197.829,0,0.072,0,0.078
1220,117560,0.364,153848,0.4,19520,0.041,39040,0.211,6945808,142.151,7510624,257.259,0,0.072,0,0.077
1220,117560,0.292,153848,0.39,19520,0.041,39040,0.237,6945808,152.68,7510624,278.294,0,0.08,0,0.072
1230,118264,0.285,154744,0.428,19680,0.042,39360,0.271,6966288,145.79,7518856,245.925,0,0.073,0,0.085
1230,118264,0.298,154744,0.399,19680,0.042,39360,0.267,6966288,135.297,7518856,312.96,0,0.08,0,0.078
1230,118264,0.281,154744,0.4,19680,0.042,39360,0.263,6966288,135.98,7518856,253,0,0.073,0,0.073
1230,118264,0.271,154744,0.397,19680,0.042,39360,0.269,6966288,145.713,7518856,181.946,0,0.073,0,0.078
1230,118264,0.276,154744,0.397,19680,0.042,39360,0.287,6966288,139.678,7518856,202.217,0,0.078,0,0.073
1240,119304,0.274,156424,0.433,19840,0.042,39680,0.169,6986768,143.237,7493432,193.918,0,0.073,0,0.093
1240,119304,0.28,156424,0.404,19840,0.041,39680,0.167,6986768,158.271,7493432,170.561,0,0.079,0,0.073
1240,119304,0.267,156424,0.4,19840,0.047,39680,0.187,6986768,167.176,7493432,242.27,0,0.073,0,0.079
1240,119304,0.282,156424,0.401,19840,0.044,39680,0.206,6986768,196.457,7493432,229.607,0,0.077,0,0.073
1240,119304,0.273,156424,0.398,19840,0.042,39680,0.402,6986768,169.902,7493432,176.844,0,0.079,0,0.084
1250,119528,0.272,156200,0.424,20000,0.043,40000,0.307,7007248,148.432,7606048,194.102,0,0.074,0,0.088
1250,119528,0.274,156200,0.398,20000,0.043,40000,0.152,7007248,148.535,7606048,244.167,0,0.079,0,0.079
1250,119528,0.276,156200,0.396,20000,0.042,40000,0.158,7007248,140.993,7606048,170.41,0,0.074,0,0.074
1250,119528,0.263,156200,0.399,20000,0.042,40000,0.175,7007248,169.699,7606048,185.575,0,0.079,0,0.073
1250,119528,0.276,156200,0.398,20000,0.044,40000,0.214,7007248,175.757,7606048,181.976,0,0.074,0,0.079
1260,120856,0.281,158552,0.436,20160,0.043,40320,0.15,7027728,199.479,7690776,186.662,0,0.075,0,0.087
1260,120856,0.271,158552,0.407,20160,0.043,40320,0.177,7027728,150.626,7690776,193.026,0,0.08,0,0.08
1260,120856,0.281,158552,0.412,20160,0.043,40320,0.204,7027728,144.67,7690776,204.289,0,0.075,0,0.074
1260,120856,0.282,158552,0.419,20160,0.043,40320,0.165,7027728,185.739,7690776,176.12,0,0.082,0,0.08
1260,120856,0.274,158552,0.407,20160,0.043,40320,0.189,7027728,179.042,7690776,181.574,0,0.074,0,0.075
1270,121584,0.275,159504,0.46,20320,0.043,40640,0.177,7048208,177.943,7572784,178.456,0,0.084,0,0.095
1270,121584,0.286,159504,0.389,20320,0.043,40640,0.145,7048208,147.978,7572784,179.745,0,0.075,0,0.079
1270,121584,0.269,159504,0.404,20320,0.043,40640,0.154,7048208,159.517,7572784,199.845,0,0.076,0,0.08
1270,121584,0.277,159504,0.424,20320,0.043,40640,0.171,7048208,148.394,7572784,214.915,0,0.08,0,0.075
1270,121584,0.278,159504,0.396,20320,0.043,40640,0.18,7048208,158.677,7572784,181.219,0,0.075,0,0.08
1280,122480,0.274,160848,0.451,20480,0.043,40960,0.181,7432192,159.722,8002240,195.632,0,0.082,0,0.089
1280,122480,0.289,160848,0.403,20480,0.043,40960,0.216,7432192,165.061,8002240,189.093,0,0.076,0,0.081
1280,122480,0.281,160848,0.428,20480,0.049,40960,0.163,7432192,166.801,8002240,186.182,0,0.081,0,0.075
1280,122480,0.289,160848,0.404,20480,0.043,40960,0.157,7432192,155.851,8002240,208.168,0,0.076,0,0.075
1280,122480,0.285,160848,0.431,20480,0.043,40960,0.202,7432192,158.553,8002240,194.782,0,0.076,0,0.08
1290,124400,0.279,162256,0.491,20640,0.074,41280,0.21,7452672,156.151,8002240,191.716,0,0.082,0,0.091
1290,124400,0.279,162256,0.438,20640,0.045,41280,0.148,7452672,151.593,8002240,188.986,0,0.077,0,0.082
1290,124400,0.277,162256,0.465,20640,0.044,41280,0.155,7452672,165.149,8002240,183.735,0,0.085,0,0.077
1290,124400,0.284,162256,0.414,20640,0.046,41280,0.171,7452672,201.33,8002240,189.12,0,0.077,0,0.087
1290,124400,0.271,162256,0.44,20640,0.044,41280,0.168,7452672,157.581,8002240,227.284,0,0.089,0,0.078
1300,124720,0.284,162256,0.431,20800,0.044,41600,0.166,7473152,165.45,8002240,193.972,0,0.094,0,0.097
1300,124720,0.28,162256,0.432,20800,0.045,41600,0.144,7473152,157.697,8002240,194.162,0,0.088,0,0.076
1300,124720,0.278,162256,0.403,20800,0.044,41600,0.145,7473152,155.406,8002240,191.157,0,0.084,0,0.082
1300,124720,0.277,162256,0.402,20800,0.044,41600,0.204,7473152,160.915,8002240,191.585,0,0.077,0,0.077
1300,124720,0.282,162256,0.427,20800,0.045,41600,0.181,7473152,170.094,8002240,213.71,0,0.083,0,0.082
1310,125904,0.28,164272,0.457,20960,0.045,41920,0.175,7493632,193.985,8002240,204.164,0,0.078,0,0.092
1310,125904,0.289,164272,0.515,20960,0.045,41920,0.146,7493632,162.212,8002240,189.449,0,0.088,0,0.083
1310,125904,0.288,164272,0.483,20960,0.045,41920,0.146,7493632,160.83,8002240,191.089,0,0.085,0,0.078
1310,125904,0.279,164272,0.539,20960,0.044,41920,0.159,7493632,161.006,8002240,202.638,0,0.084,0,0.083
1310,125904,0.288,164272,0.465,20960,0.045,41920,0.145,7493632,158.441,8002240,313.474,0,0.078,0,0.103
1320,126920,0.284,165896,0.543,21120,0.049,42240,0.146,7514112,158.654,8002240,203.593,0,0.084,0,0.123
1320,126920,0.277,165896,0.544,21120,0.045,42240,0.146,7514112,236.841,8002240,201.516,0,0.079,0,0.081
1320,126920,0.288,165896,0.56,21120,0.045,42240,0.152,7514112,166.249,8002240,198.046,0,0.084,0,0.084
1320,126920,0.282,165896,0.509,21120,0.045,42240,0.146,7514112,162.654,8002240,207.986,0,0.079,0,0.078
1320,126920,0.281,165896,0.578,21120,0.045,42240,0.147,7514112,166.961,8002240,236.012,0,0.078,0,0.083
1330,128032,0.291,167744,0.616,21280,0.045,42560,0.15,7534592,165.36,8002240,224.491,0,0.084,0,0.093
1330,128032,0.295,167744,0.597,21280,0.045,42560,0.206,7534592,166.087,8002240,242.255,0,0.079,0,0.083
1330,128032,0.282,167744,0.531,21280,0.045,42560,0.149,7534592,195.061,8002240,196.664,0,0.084,0,0.079
1330,128032,0.296,167744,0.618,21280,0.045,42560,0.148,7534592,176.557,8002240,197.033,0,0.079,0,0.084
1330,128032,0.294,167744,0.613,21280,0.045,42560,0.149,7534592,160.481,8002240,248.026,0,0.079,0,0.079
1340,128928,0.294,169088,0.601,21440,0.046,42880,0.158,7555072,167.668,8002240,284.759,0,0.088,0,0.105
1340,128928,0.295,169088,0.563,21440,0.045,42880,0.15,7555072,168.92,8002240,258.418,0,0.08,0,0.08
1340,128928,0.516,169088,0.497,21440,0.046,42880,0.149,7555072,162.668,8002240,349.906,0,0.08,0,0.085
1340,128928,0.504,169088,0.459,21440,0.047,42880,0.148,7555072,172.895,8002240,289.495,0,0.085,0,0.086
1340,128928,0.499,169088,0.438,21440,0.045,42880,0.154,7555072,214.453,8002240,407.267,0,0.08,0,0.087
1350,129296,0.518,169200,0.474,21600,0.046,43200,0.15,7575552,173.566,8002240,327.217,0,0.085,0,0.095
1350,129296,0.492,169200,0.452,21600,0.046,43200,0.156,7575552,161.555,8002240,338.014,0,0.08,0,0.084
1350,129296,0.504,169200,0.443,21600,0.046,43200,0.152,7575552,167.827,8002240,336.274,0,0.08,0,0.08
1350,129296,0.502,169200,0.449,21600,0.046,43200,0.149,7575552,173.884,8002240,354.574,0,0.088,0,0.085
1350,129296,0.507,169200,0.438,21600,0.062,43200,0.155,7575552,184.97,8002240,446.083,0,0.08,0,0.08
1360,129760,0.514,169536,0.477,21760,0.046,43520,0.151,7596032,205.891,8002240,233.794,0,0.086,0,0.101
1360,129760,0.379,169536,0.453,21760,0.046,43520,0.151,7596032,175.813,8002240,506.35,0,0.084,0,0.081
1360,129760,0.342,169536,0.436,21760,0.045,43520,0.151,7596032,255.791,8002240,272.728,0,0.081,0,0.086
1360,129760,0.457,169536,0.437,21760,0.046,43520,0.156,7596032,199.108,8002240,273.145,0,0.086,0,0.08
1360,129760,0.482,169536,0.434,21760,0.046,43520,0.153,7596032,208.222,8002240,276.276,0,0.081,0,0.086
1370,130704,0.517,170992,0.476,21920,0.047,43840,0.152,7616512,275.514,8002240,348.485,0,0.087,0,0.094
1370,130704,0.517,170992,0.439,21920,0.047,43840,0.152,7616512,174.403,8002240,249.53,0,0.082,0,0.086
1370,130704,0.507,170992,0.444,21920,0.047,43840,0.158,7616512,174.975,8002240,249.411,0,0.081,0,0.081
1370,130704,0.578,170992,0.442,21920,0.047,43840,0.152,7616512,201.128,8002240,235.279,0,0.087,0,0.085
1370,130704,0.533,170992,0.445,21920,0.047,43840,0.152,7616512,191.531,8002240,224.168,0,0.081,0,0.081
1380,131408,0.512,171888,0.475,22080,0.047,44160,0.155,7636992,199.129,8002240,245.257,0,0.087,0,0.101
1380,131408,0.532,171888,0.448,22080,0.047,44160,0.158,7636992,175.966,8002240,258.233,0,0.082,0,0.081
1380,131408,0.508,171888,0.438,22080,0.047,44160,0.152,7636992,176.488,8002240,221.791,0,0.093,0,0.088
1380,131408,0.512,171888,0.443,22080,0.047,44160,0.153,7636992,181.883,8002240,218.188,0,0.087,0,0.082
1380,131408,0.498,171888,0.444,22080,0.046,44160,0.152,7636992,178.959,8002240,243.446,0,0.082,0,0.088
1390,133824,0.544,174240,0.482,22240,0.048,44480,0.16,7657472,182.551,8002240,392.543,0,0.088,0,0.098
1390,133824,0.516,174240,0.455,22240,0.047,44480,0.156,7657472,286.591,8002240,226.757,0,0.082,0,0.087
1390,133824,0.51,174240,0.447,22240,0.047,44480,0.154,7657472,178.743,8002240,229.911,0,0.083,0,0.082
1390,133824,0.524,174240,0.448,22240,0.054,44480,0.154,7657472,182.067,8002240,261.024,0,0.087,0,0.087
1390,133824,0.517,174240,0.452,22240,0.047,44480,0.159,7657472,187.527,8002240,317.515,0,0.082,0,0.082
1400,134936,0.512,176088,0.483,22400,0.047,44800,0.155,7677952,247.617,8002240,259.366,0,0.088,0,0.104
1400,134936,0.521,176088,0.462,22400,0.047,44800,0.154,7677952,273.011,8002240,225.114,0,0.083,0,0.084
1400,134936,0.518,176088,0.453,22400,0.047,44800,0.155,7677952,272.488,8002240,238.852,0,0.088,0,0.092
1400,134936,0.514,176088,0.442,22400,0.047,44800,0.156,7677952,259.822,8002240,263.231,0,0.089,0,0.083
1400,134936,0.52,176088,0.455,22400,0.049,44800,0.16,7677952,359.519,8002240,219.101,0,0.083,0,0.089
1410,135568,0.534,176816,0.48,22560,0.048,45120,0.169,7698432,314.471,8002240,318.733,0,0.089,0,0.104
1410,135568,0.513,176816,0.477,22560,0.048,45120,0.152,7698432,212.374,8002240,281.317,0,0.084,0,0.084
1410,135568,0.523,176816,0.45,22560,0.048,45120,0.152,7698432,188.741,8002240,272.835,0,0.083,0,0.089
1410,135568,0.523,176816,0.445,22560,0.048,45120,0.159,7698432,213.316,8002240,311.793,0,0.089,0,0.084
1410,135568,0.511,176816,0.539,22560,0.047,45120,0.18,7698432,199.041,8002240,289.043,0,0.084,0,0.09
1420,136488,0.527,178216,0.511,22720,0.049,45440,0.153,7718912,257.348,8002240,292.909,0,0.09,0,0.1
1420,136488,0.525,178216,0.464,22720,0.048,45440,0.153,7718912,194.326,8002240,359.622,0,0.084,0,0.089
1420,136488,0.536,178216,0.453,22720,0.048,45440,0.159,7718912,199.489,8002240,305.172,0,0.089,0,0.084
1420,136488,0.523,178216,0.46,22720,0.048,45440,0.153,7718912,193.63,8002240,252.248,0,0.084,0,0.102
1420,136488,0.527,178216,0.446,22720,0.048,45440,0.153,7718912,192.328,8002240,393.83,0,0.109,0,0.084
1430,137144,0.52,179000,0.493,22880,0.048,45760,0.227,7739392,270.697,8002240,297.096,0,0.092,0,0.106
1430,137144,0.528,179000,0.467,22880,0.049,45760,0.17,7739392,191.791,8002240,427.189,0,0.084,0,0.085
1430,137144,0.527,179000,0.467,22880,0.053,45760,0.259,7739392,193.695,8002240,445.688,0,0.09,0,0.09
1430,137144,0.52,179000,0.464,22880,0.049,45760,0.169,7739392,188.803,8002240,446.354,0,0.084,0,0.084
1430,137144,0.534,179000,0.461,22880,0.049,45760,0.155,7739392,186.942,8002240,303.369,0,0.089,0,0.09
1440,137896,0.535,180008,0.488,23040,0.049,46080,0.184,7759872,212.045,8002240,271.639,0,0.085,0,0.106
1440,137896,0.529,180008,0.47,23040,0.049,46080,0.18,7759872,218.117,8002240,318.025,0,0.093,0,0.104
1440,137896,0.533,180008,0.459,23040,0.049,46080,0.17,7759872,198.828,8002240,411.188,0,0.086,0,0.086
1440,137896,0.531,180008,0.463,23040,0.049,46080,0.155,7759872,202.929,8002240,346.297,0,0.091,0,0.1
1440,137896,0.522,180008,0.458,23040,0.048,46080,0.155,7759872,191.368,8002240,242.6,0,0.089,0,0.092
1450,138552,0.537,180792,0.503,23200,0.049,46400,0.199,7780352,194.615,8002240,255.126,0,0.093,0,0.119
1450,138552,0.545,180792,0.464,23200,0.049,46400,0.159,7780352,245.62,8002240,317.939,0,0.087,0,0.098
1450,138552,0.528,180792,0.466,23200,0.049,46400,0.158,7780352,207.077,8002240,336.91,0,0.091,0,0.086
1450,138552,0.531,180792,0.461,23200,0.05,46400,0.158,7780352,197.143,8002240,400.529,0,0.086,0,0.09
1450,138552,0.536,180792,0.463,23200,0.049,46400,0.164,7780352,277.888,8002240,256.24,0,0.09,0,0.086
1460,138992,0.527,181072,0.501,23360,0.05,46720,0.159,7800832,235.485,8002240,333.659,0,0.087,0,0.106
1460,138992,0.429,181072,0.464,23360,0.05,46720,0.186,7800832,246.491,8002240,317.198,0,0.094,0,0.086
1460,138992,0.339,181072,0.461,23360,0.05,46720,0.159,7800832,249.419,8002240,300.808,0,0.086,0,0.092
1460,138992,0.354,181072,0.456,23360,0.05,46720,0.165,7800832,206.612,8002240,294.277,0,0.086,0,0.09
1460,138992,0.392,181072,0.454,23360,0.05,46720,0.159,7800832,197.204,8002240,289.899,0,0.097,0,0.091
1470,139696,0.332,181968,0.509,23520,0.055,47040,0.184,7821312,258.367,8002240,298.591,0,0.088,0,0.103
1470,139696,0.324,181968,0.478,23520,0.049,47040,0.174,7821312,226.984,8002240,301.063,0,0.093,0,0.093
1470,139696,0.479,181968,0.472,23520,0.05,47040,0.197,7821312,203.145,8002240,264.859,0,0.087,0,0.087
1470,139696,0.457,181968,0.47,23520,0.05,47040,0.16,7821312,207.573,8002240,301.581,0,0.093,0,0.092
1470,139696,0.446,181968,0.459,23520,0.052,47040,0.159,7821312,216.415,8002240,258.428,0,0.098,0,0.087
1480,140928,0.456,184096,0.517,23680,0.05,47360,0.16,7841792,281.148,8002240,291.579,0,0.096,0,0.109
1480,140928,0.459,184096,0.47,23680,0.05,47360,0.167,7841792,216.456,8002240,273.87,0,0.087,0,0.093
1480,140928,0.325,184096,0.5,23680,0.05,47360,0.161,7841792,262.939,8002240,316.684,0,0.093,0,0.093
1480,140928,0.328,184096,0.483,23680,0.05,47360,0.188,7841792,221.117,8002240,375.469,0,0.087,0,0.093
1480,140928,0.334,184096,0.469,23680,0.05,47360,0.161,7841792,223.248,8002240,340.966,0,0.097,0,0.087
1490,142184,0.329,186280,0.519,23840,0.051,47680,0.167,8256016,276.94,8657232,335.24,0,0.088,0,0.111
1490,142184,0.329,186280,0.488,23840,0.051,47680,0.161,8256016,212.321,8657232,294.254,0,0.093,0,0.088
1490,142184,0.332,186280,0.486,23840,0.051,47680,0.161,8256016,211.948,8657232,260.66,0,0.088,0,0.093
1490,142184,0.465,186280,0.498,23840,0.051,47680,0.2,8256016,216.793,8657232,260.711,0,0.093,0,0.088
1490,142184,0.5,186280,0.488,23840,0.051,47680,0.167,8256016,223.4,8657232,318.864,0,0.089,0,0.093
1500,144320,0.506,187744,0.516,24000,0.051,48000,0.163,8276496,242.926,8657232,279.449,0,0.094,0,0.11
1500,144320,0.545,187744,0.49,24000,0.05,48000,0.162,8276496,212.447,8657232,282.95,0,0.09,0,0.089
1500,144320,0.621,187744,0.481,24000,0.051,48000,0.162,8276496,233.927,8657232,298.364,0,0.101,0,0.096
1500,144320,0.634,187744,0.485,24000,0.051,48000,0.169,8276496,215.264,8657232,416.181,0,0.089,0,0.088
1500,144320,0.683,187744,0.471,24000,0.051,48000,0.19,8276496,249.402,8657232,409.315,0,0.102,0,0.094
1510,145360,0.555,189424,0.522,24160,0.052,48320,0.164,8296976,239.958,8657232,426.121,0,0.089,0,0.106
1510,145360,0.342,189424,0.479,24160,0.06,48320,0.164,8296976,221.636,8657232,423.627,0,0.095,0,0.094
1510,145360,0.336,189424,0.487,24160,0.07,48320,0.169,8296976,220.032,8657232,443.87,0,0.09,0,0.089
1510,145360,0.325,189424,0.481,24160,0.052,48320,0.163,8296976,216.932,8657232,394.923,0,0.095,0,0.094
1510,145360,0.326,189424,0.49,24160,0.051,48320,0.163,8296976,266.946,8657232,513.633,0,0.089,0,0.101
1520,146040,0.339,190264,0.522,24320,0.053,48640,0.197,8317456,231.534,8657232,478.404,0,0.09,0,0.123
1520,146040,0.353,190264,0.495,24320,0.051,48640,0.165,8317456,231.541,8657232,492.587,0,0.095,0,0.105
1520,146040,0.319,190264,0.484,24320,0.051,48640,0.179,8317456,218.141,8657232,407.333,0,0.095,0,0.096
1520,146040,0.328,190264,0.488,24320,0.052,48640,0.169,8317456,246.069,8657232,337.594,0,0.096,0,0.096
1520,146040,0.323,190264,0.49,24320,0.051,48640,0.241,8317456,262.765,8657232,302.897,0,0.094,0,0.091
1530,146864,0.344,191440,0.527,24480,0.052,48960,0.172,8337936,225.796,8657232,346.949,0,0.096,0,0.114
1530,146864,0.336,191440,0.492,24480,0.052,48960,0.169,8337936,222.008,8657232,343.463,0,0.09,0,0.096
1530,146864,0.333,191440,0.49,24480,0.052,48960,0.169,8337936,233.518,8657232,342.262,0,0.096,0,0.09
1530,146864,0.324,191440,0.49,24480,0.052,48960,0.175,8337936,240.554,8657232,273.548,0,0.09,0,0.095
1530,146864,0.328,191440,0.519,24480,0.06,48960,0.169,8337936,237.035,8657232,291.195,0,0.095,0,0.09
1540,147088,0.53,191216,0.518,24640,0.052,49280,0.171,8358416,225.743,8657232,305.313,0,0.091,0,0.112
1540,147088,0.584,191216,0.512,24640,0.052,49280,0.172,8358416,220.298,8657232,287.363,0,0.096,0,0.091
1540,147088,0.572,191216,0.478,24640,0.053,49280,0.176,8358416,342.78,8657232,301.611,0,0.091,0,0.098
1540,147088,0.559,191216,0.571,24640,0.052,49280,0.171,8358416,322.673,8657232,343.601,0,0.096,0,0.091
1540,147088,0.642,191216,0.595,24640,0.052,49280,0.17,8358416,241.645,8657232,281.595,0,0.094,0,0.096
1550,148032,0.676,192672,0.555,24800,0.053,49600,0.171,8378896,247.886,8657232,268.847,0,0.098,0,0.114
1550,148032,0.611,192672,0.573,24800,0.052,49600,0.179,8378896,274.96,8657232,303.262,0,0.092,0,0.091
1550,148032,0.589,192672,1.085,24800,0.053,49600,0.172,8378896,224.786,8657232,322.585,0,0.096,0,0.097
1550,148032,0.573,192672,0.879,24800,0.053,49600,0.171,8378896,232.517,8657232,272.701,0,0.092,0,0.091
1550,148032,0.585,192672,0.968,24800,0.052,49600,0.17,8378896,231.871,8657232,276.192,0,0.096,0,0.096
1560,149432,0.579,195192,1.034,24960,0.052,49920,0.178,8399376,236.542,8657232,336.648,0,0.092,0,0.115
1560,149432,0.572,195192,0.922,24960,0.052,49920,0.172,8399376,303.791,8657232,298.819,0,0.097,0,0.095
1560,149432,0.564,195192,0.895,24960,0.053,49920,0.174,8399376,287.589,8657232,307.895,0,0.093,0,0.097
1560,149432,0.6,195192,0.518,24960,0.053,49920,0.173,8399376,238.407,8657232,303.474,0,0.1,0,0.093
1560,149432,0.579,195192,0.844,24960,0.052,49920,0.177,8399376,230.596,8657232,339.789,0,0.098,0,0.098
1570,149896,0.576,195528,1.147,25120,0.053,50240,0.173,8419856,277.83,8657232,305.084,0,0.101,0,0.108
1570,149896,0.566,195528,1.328,25120,0.057,50240,0.173,8419856,238.998,8657232,298.298,0,0.093,0,0.099
1570,149896,0.59,195528,0.985,25120,0.054,50240,0.175,8419856,238.672,8657232,349.415,0,0.099,0,0.098
1570,149896,0.587,195528,1.208,25120,0.054,50240,0.179,8419856,279.799,8657232,308.35,0,0.093,0,0.092
1570,149896,0.589,195528,4.202,25120,0.053,50240,0.174,8419856,249.347,8657232,403.076,0,0.101,0,0.097
1580,150432,0.575,196032,0.93,25280,0.054,50560,0.175,8440336,271.997,8657232,303.671,0,0.098,0,0.112
1580,150432,0.588,196032,0.89,25280,0.054,50560,0.181,8440336,243.107,8657232,341.531,0,0.093,0,0.101
1580,150432,0.578,196032,0.876,25280,0.054,50560,0.195,8440336,229.987,8657232,330.25,0,0.099,0,0.1
1580,150432,0.569,196032,1.133,25280,0.055,50560,0.177,8440336,256.707,8657232,319.46,0,0.097,0,0.094
1580,150432,0.571,196032,0.937,25280,0.053,50560,0.175,8440336,271.62,8657232,348.733,0,0.098,0,0.099
1590,151184,0.597,197040,1.112,25440,0.054,50880,0.183,8460816,242.925,8657232,301.09,0,0.094,0,0.111
1590,151184,0.597,197040,0.91,25440,0.054,50880,0.176,8460816,239.96,8657232,498.296,0,0.1,0,0.1
1590,151184,0.51,197040,0.907,25440,0.054,50880,0.175,8460816,240.633,8657232,425.343,0,0.094,0,0.094
1590,151184,0.412,197040,0.903,25440,0.054,50880,0.178,8460816,290.071,8657232,424.258,0,0.099,0,0.099
1590,151184,0.353,197040,0.894,25440,0.054,50880,0.182,8460816,253.236,8657232,449.584,0,0.094,0,0.099
1600,151432,0.348,196872,1.005,25600,0.054,51200,0.177,8481296,246.185,8657232,389.059,0,0.1,0,0.117
1600,151432,0.338,196872,1.167,25600,0.054,51200,0.177,8481296,250.228,8657232,384.015,0,0.095,0,0.1
1600,151432,0.339,196872,0.905,25600,0.054,51200,0.176,8481296,256.224,8657232,364.133,0,0.1,0,0.095
1600,151432,0.348,196872,1.166,25600,0.081,51200,0.182,8481296,260.481,8657232,367.926,0,0.098,0,0.1
1600,151432,0.369,196872,0.944,25600,0.072,51200,0.198,8481296,247.368,8657232,498.853,0,0.1,0,0.099
1610,152712,0.345,199112,2.001,25760,0.059,51520,0.177,8352728,252.943,7418200,355.474,0,0.095,0,0.114
1610,152712,0.484,199112,1.057,25760,0.059,51520,0.177,8352728,252.252,7418200,330.812,0,0.101,0,0.1
1610,152712,0.487,199112,1.329,25760,0.058,51520,0.186,8352728,311.672,7418200,306.75,0,0.096,0,0.095
1610,152712,0.397,199112,1.258,25760,0.058,51520,0.177,8352728,253.636,7418200,430.544,0,0.101,0,0.1
1610,152712,0.353,199112,0.935,25760,0.059,51520,0.249,8352728,256.256,7418200,409.757,0,0.095,0,0.1
1620,155720,0.343,202504,1.068,25920,0.056,51840,0.18,8398808,270.398,7297912,391.678,0,0.101,0,0.116
1620,155720,0.348,202504,0.899,25920,0.055,51840,0.186,8398808,355.653,7297912,321.935,0,0.097,0,0.101
1620,155720,0.343,202504,1.019,25920,0.062,51840,0.179,8398808,271.414,7297912,297.235,0,0.101,0,0.096
1620,155720,0.392,202504,0.887,25920,0.056,51840,0.179,8398808,257.063,7297912,339.391,0,0.101,0,0.101
1620,155720,0.608,202504,0.889,25920,0.056,51840,0.18,8398808,314.563,7297912,379.61,0,0.1,0,0.101
1630,156784,0.606,204240,0.884,26080,0.058,52160,0.185,8444888,345.908,7344000,320.182,0,0.102,0,0.113
1630,156784,0.588,204240,1.789,26080,0.057,52160,0.18,8444888,259.229,7344000,755.12,0,0.097,0,0.101
